random,mcts1,seasaltpaper-4P-64,seasaltpaper-4P-128,osla
7244.0,4312.336787004417,4378.678679776629,4378.1915975643615,2501.9268346369367
4312.336787004417,7244.0,1985.760121372505,2057.553641409248,3258.215296018867
4378.678679776629,1985.760121372505,7244.0,1566.763145154651,3074.4592604896516
4378.1915975643615,2057.553641409248,1566.763145154651,7244.0,3161.995733696032
2501.9268346369367,3258.215296018867,3074.4592604896516,3161.995733696032,7244.0
