random,mcts1,dominion-4P-128,dominion-4P-64,osla
6183.0,4206.426016906694,4350.272441428355,4390.509090773299,2216.7726758671834
4206.426016906694,6183.0,3691.9603546040235,2919.7063899653567,2467.997502622322
4350.272441428355,3691.9603546040235,6183.0,2838.0530951387527,3890.4655508494475
4390.509090773299,2919.7063899653567,2838.0530951387527,6183.0,3165.9033369703097
2216.7726758671834,2467.997502622322,3890.4655508494475,3165.9033369703097,6183.0
